city,year,median_gross_rent,threshold_pct_ami
"Madison, WI",2015,939,68.42028563101137
"Madison, WI",2016,959,67.93709266081042
"Madison, WI",2017,1008,67.89364675770791
"Madison, WI",2018,1068,67.91085111118176
"Madison, WI",2019,1118,68.4503765382967
"Madison, WI",2020,1147,67.90498038925479
"Madison, WI",2021,1212,68.7991371725371
"Madison, WI",2022,1291,68.94986314173175
"Madison, WI",2023,1364,70.87279009651482
"Austin, TX",2015,1047,72.59616217996498
"Austin, TX",2016,1106,72.59718735128571
"Austin, TX",2017,1165,73.13589779807586
"Austin, TX",2018,1225,72.63348255314102
"Austin, TX",2019,1280,71.53235721470884
"Austin, TX",2020,1346,71.07403104868519
"Austin, TX",2021,1415,71.67732539732793
"Austin, TX",2022,1549,71.58371458939877
"Austin, TX",2023,1655,72.38057751391304
