city,year,median_gross_rent,median_hh_income,annual_rent,rent_pct_ami
"Madison, WI",2015,939,54896,11268,20.52608568930341
"Madison, WI",2016,959,56464,11508,20.381127798243128
"Madison, WI",2017,1008,59387,12096,20.368094027312374
"Madison, WI",2018,1068,62906,12816,20.37325533335453
"Madison, WI",2019,1118,65332,13416,20.53511296148901
"Madison, WI",2020,1147,67565,13764,20.371494116776436
"Madison, WI",2021,1212,70466,14544,20.639741151761132
"Madison, WI",2022,1291,74895,15492,20.684958942519525
"Madison, WI",2023,1364,76983,16368,21.261837028954446
"Austin, TX",2015,1047,57689,12564,21.778848653989495
"Austin, TX",2016,1106,60939,13272,21.779156205385714
"Austin, TX",2017,1165,63717,13980,21.94076933942276
"Austin, TX",2018,1225,67462,14700,21.790044765942305
"Austin, TX",2019,1280,71576,15360,21.459707164412652
"Austin, TX",2020,1346,75752,16152,21.322209314605555
"Austin, TX",2021,1415,78965,16980,21.50319761919838
"Austin, TX",2022,1549,86556,18588,21.475114376819633
"Austin, TX",2023,1655,91461,19860,21.71417325417391
