city,year,cost_burden_rate,severe_burden_rate,renter_occupied_units
"Madison, WI",2015,0.5154713227980993,0.29040041256860794,54294
"Madison, WI",2016,0.5072311997833349,0.276266137040715,55385
"Madison, WI",2017,0.4970619469026548,0.2753451327433628,56500
"Madison, WI",2018,0.487457131417231,0.2644012325261564,57443
"Madison, WI",2019,0.4817704323427261,0.2547006792246232,58449
"Madison, WI",2020,0.469016564385716,0.24614095967452435,58499
"Madison, WI",2021,0.4569206741719268,0.24484284505759094,61468
"Madison, WI",2022,0.465034691224608,0.2545850365706589,63849
"Madison, WI",2023,0.4679151953992163,0.25092745720287846,67119
"Austin, TX",2015,0.4777801282679696,0.2376465974934602,193813
"Austin, TX",2016,0.4724060572069545,0.23086218324580635,196130
"Austin, TX",2017,0.4676317559197253,0.22383969338275075,197771
"Austin, TX",2018,0.4645207728373028,0.22000423985761966,202837
"Austin, TX",2019,0.4547044421126268,0.21596304867589491,208707
"Austin, TX",2020,0.4455690560536346,0.2104994358886263,215383
"Austin, TX",2021,0.4501082464081873,0.21526274355441843,223564
"Austin, TX",2022,0.456081684747926,0.21809402254839397,235050
"Austin, TX",2023,0.4596633090231219,0.22034944566177192,244616
