year,actual_madison_rent,counterfactual_rent,cumulative_adjustment,madison_rate_per_100k,austin_rate_per_100k
2015,1074.0,1070.0,-4.0,955.9,1322.0
2016,1099.0,1089.0,-9.0,740.5,1233.1
2017,1136.0,1118.0,-18.0,627.7,1392.6
2018,1164.0,1131.0,-33.0,307.4,1717.2
2019,1203.0,1156.0,-47.0,833.8,2072.6
2020,1240.0,1173.0,-67.0,299.6,2125.3
2021,1294.0,1206.0,-88.0,359.8,2231.2
2022,1391.0,1282.0,-110.0,529.2,2531.4
2023,1528.0,1402.0,-126.0,605.7,2103.5
2024,1606.0,1480.0,-126.0,,
2025,1664.0,1538.0,-126.0,,
2026,1690.0,1564.0,-126.0,,
