city,year,burden_score,rent_score,supply_score,displacement_risk,cost_burden_rate,yoy_pct,units_per_100k
"Austin, TX",2015,47.77801282679696,,0.0,,0.4777801282679696,,1322.0060401708563
"Austin, TX",2016,47.24060572069545,11.304570347056158,0.0,19.9,0.4724060572069545,3.391371104116847,1233.1195147717672
"Austin, TX",2017,46.76317559197253,8.93576015745734,0.0,19.0,0.4676317559197253,2.680728047237202,1383.4569737792096
"Austin, TX",2018,46.45207728373028,9.467295883229365,0.0,19.1,0.4645207728373028,2.8401887649688096,1717.2229910606945
"Austin, TX",2019,45.47044421126268,15.301361228291213,0.0,20.5,0.4547044421126268,4.590408368487364,2072.5552083651046
"Austin, TX",2020,44.55690560536346,4.5590573926913205,0.0,17.0,0.4455690560536346,1.367717217807396,2125.333377507579
"Austin, TX",2021,45.01082464081873,38.83963891226465,0.0,27.4,0.4501082464081873,11.651891673679394,2231.1778442568634
"Austin, TX",2022,45.6081684747926,43.45524228390763,0.0,29.0,0.456081684747926,13.036572685172288,2531.4077824926267
"Austin, TX",2023,45.966330902312194,0.0,0.0,16.1,0.4596633090231219,-0.9128076735430368,2103.5023588073504
"Austin, TX",2024,,0.0,,,,-3.7958450853160963,
"Austin, TX",2025,,0.0,,,,-3.235588376549614,
"Austin, TX",2026,,0.0,,,,-1.8279127197336043,
"Madison, WI",2015,51.54713227980993,,0.11507997795000557,,0.5154713227980993,,955.8986846110184
"Madison, WI",2016,50.723119978333486,7.795015226904549,22.617758167820924,28.0,0.5072311997833349,2.3385045680713645,740.5480543339538
"Madison, WI",2017,49.706194690265484,11.289632084009016,34.412515348395175,32.8,0.4970619469026548,3.3868896252027048,627.6722281158582
"Madison, WI",2018,48.7457131417231,8.296994348623372,67.87515524279415,43.3,0.487457131417231,2.489098304587012,307.43476432646
"Madison, WI",2019,48.17704323427261,11.050800956521407,12.873490517342912,24.7,0.4817704323427261,3.3152402869564224,833.8006957490284
"Madison, WI",2020,46.9016564385716,10.256426759334209,68.69644498629523,43.5,0.469016564385716,3.076928027800263,299.57502148115464
"Madison, WI",2021,45.692067417192675,14.553097268836654,62.40642629823767,42.2,0.4569206741719268,4.365929180650996,359.77050032586544
"Madison, WI",2022,46.5034691224608,25.081924504961457,44.70167569722159,39.4,0.465034691224608,7.524577351488437,529.2049635775894
"Madison, WI",2023,46.79151953992163,32.6680436889688,36.71283891658812,39.0,0.4679151953992163,9.800413106690641,605.6581315682517
"Madison, WI",2024,,16.99609483786113,,,,5.098828451358339,
"Madison, WI",2025,,12.14288592337261,,,,3.6428657770117834,
"Madison, WI",2026,,5.269491861627026,,,,1.5808475584881077,
