city,year,White_NonHisp,Black_AA,Hispanic,Asian,median_gross_rent,White_NonHisp_idx,Black_AA_idx,Hispanic_idx,Asian_idx,median_gross_rent_idx,White_NonHisp_rent_pressure,Black_AA_rent_pressure,Hispanic_rent_pressure,Asian_rent_pressure
"Madison, WI",2015,59766,27183,34527,44246,939,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,1.0
"Madison, WI",2016,60848,29508,38074,46558,959,101.81039386942408,108.55313983004082,110.27311958756916,105.22533110337658,102.12992545260914,1.0031384966803574,0.9408288476271772,0.9261543142570352,0.9705830752128838
"Madison, WI",2017,63367,29669,42228,49462,1008,106.02516480942342,109.14542177095979,122.3042836041359,111.78863626090494,107.34824281150159,1.0124789054037913,0.9835340875476247,0.8777144973838958,0.9602786687634345
"Madison, WI",2018,67152,30290,44511,54407,1068,112.35819696817589,111.42993782879005,128.9165001303328,122.96478777742621,113.73801916932906,1.0122805655340303,1.0207132964938501,0.8822611462019331,0.9249641399390031
"Madison, WI",2019,70028,31189,47669,59803,1118,117.17029749355821,114.73715189640583,138.06296521562837,135.16024047371513,119.06283280085196,1.0161520056514135,1.0377007868240595,0.8623806725786183,0.8809013093166724
"Madison, WI",2020,71956,34824,55895,63461,1147,120.39621189304957,128.10948018982452,161.88779795522345,143.42765447724088,122.15122470713524,1.0145769770202129,0.9534909089174297,0.75454250567372,0.8516574098094745
"Madison, WI",2021,74916,37587,59188,66657,1212,125.34886055616906,138.27392120075046,171.4252613896371,150.65090629661438,129.073482428115,1.0297140465052488,0.9334622270581452,0.7529431857463551,0.8567720274711398
"Madison, WI",2022,80316,41438,61232,69581,1291,134.3840979821303,152.4408637751536,177.3452660236916,157.25941328029654,137.4866879659212,1.023087478581011,0.9019017903802393,0.7752487058073165,0.8742668251017014
"Madison, WI",2023,83244,43191,62783,67381,1364,139.28320449754042,158.88974726851342,181.83740261244822,152.2872124033811,145.26091586794462,1.0429176754797436,0.9142246014304689,0.7988505872883621,0.9538615460579507
"Austin, TX",2015,69863,37217,41276,75021,1047,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,1.0
"Austin, TX",2016,72341,40004,44239,78629,1106,103.5469418719494,107.4885133138082,107.17850566915399,104.8093200570507,105.63514804202482,1.0201667584993268,0.982757550414968,0.9856001199354905,1.0078793373005817
"Austin, TX",2017,76401,41433,47330,80684,1165,109.35831556045403,111.32815648762661,114.66711890687083,107.54855307180655,111.27029608404966,1.017483631800626,0.9994802716096051,0.9703766619829355,1.0346052355512234
"Austin, TX",2018,81540,42422,50322,87597,1225,116.7141405321844,113.98554424053525,121.91588332202731,116.7633062742432,117.00095510983763,1.0024574106988702,1.0264543270762403,0.9596859073792097,1.0020353040966163
"Austin, TX",2019,86530,46833,52454,91958,1280,123.85669095229235,125.83765483515599,127.08111251090222,122.57634528998547,122.25405921680994,0.9870605962168024,0.9715220724429388,0.9620159660336766,0.9973707319106873
"Austin, TX",2020,88969,48833,59000,96439,1346,127.34780928388419,131.21154311201872,142.94020738443646,128.54933951826823,128.5577841451767,1.0095013402122626,0.9797749580265478,0.8993815420976803,1.0000656917175936
"Austin, TX",2021,94027,50114,61123,102315,1415,134.58769305641042,134.65351855334927,148.0836321348968,136.38181309233414,135.14804202483285,1.0041634487945905,1.0036725625649927,0.9126467258833828,0.9909535513605029
"Austin, TX",2022,101525,56791,66940,113136,1549,145.32012653335815,152.5942445656555,162.17656749685048,150.80577438317272,147.94651384909264,1.0180731147046695,0.9695419002873132,0.9122557970772553,0.9810401123844558
"Austin, TX",2023,105057,60173,71002,119954,1655,150.37573536779126,161.68148964183035,172.017637367962,159.89389637568146,158.0706781279847,1.0511714389384235,0.9776671310869005,0.9189213417101908,0.9885973242942746
