city,year,rent_burden_50plus_pct,renter_occupied_units,severe_rate,White_NonHisp__burden_rate,Black_AA__burden_rate,Hispanic__burden_rate,Asian__burden_rate
"Madison, WI",2015,15767,54294,0.29040041256860794,0.6534435849614226,0.7448534943177586,0.7425665390588847,0.6718588541614405
"Madison, WI",2016,15301,55385,0.276266137040715,0.6505771528370512,0.7270959642301381,0.6942731772515537,0.6596740223465568
"Madison, WI",2017,15557,56500,0.2753451327433628,0.653309541376597,0.7568818093080073,0.6820623727033611,0.6362047797627601
"Madison, WI",2018,15188,57443,0.2644012325261564,0.6400494792358149,0.7511881237720247,0.7198150081186997,0.5955125815193766
"Madison, WI",2019,14887,58449,0.2547006792246232,0.6427022839325259,0.75938062363243,0.6750008618628227,0.5896786699194968
"Madison, WI",2020,14399,58499,0.24614095967452435,0.6468136399748802,0.7640676558974565,0.6320327379085284,0.5970249641395635
"Madison, WI",2021,15050,61468,0.24484284505759094,0.6574600568390178,0.765772090147124,0.6231763230283187,0.6005662167346187
"Madison, WI",2022,16255,63849,0.2545850365706589,0.6535093533572405,0.7601570744738388,0.5972137083619228,0.6155721968356043
"Madison, WI",2023,16842,67119,0.25092745720287846,0.6768289162292701,0.7769437823809882,0.6615592285485532,0.663955671289852
"Austin, TX",2015,46059,193813,0.2376465974934602,0.5949142326467499,0.8232365972557639,0.7624993740372303,0.5527425723053516
"Austin, TX",2016,45279,196130,0.23086218324580635,0.6091753489921359,0.8113401626540666,0.7659599584349073,0.5424139122611913
"Austin, TX",2017,44269,197771,0.22383969338275075,0.6002610023197068,0.8006652035666427,0.7560454822954181,0.5364951902877719
"Austin, TX",2018,44625,202837,0.22000423985761966,0.590407844212373,0.8023007010558907,0.7508064284737661,0.5217490607329175
"Austin, TX",2019,45073,208707,0.21596304867589491,0.5813148191763273,0.7631551306720624,0.7400084552734921,0.5283592689919063
"Austin, TX",2020,45338,215383,0.2104994358886263,0.6020509593880863,0.7667189936543929,0.718192838170045,0.5422817708789512
"Austin, TX",2021,48125,223564,0.21526274355441843,0.5961920408517699,0.7927880912458829,0.7228615037380081,0.5348132121517446
"Austin, TX",2022,51263,235050,0.21809402254839397,0.6091782090866454,0.7564152313628993,0.7295667452726934,0.5176254386988568
"Austin, TX",2023,53901,244616,0.22034944566177192,0.6222534845900545,0.7472976279607173,0.7337185546372221,0.4923004040482859
